User ID,Gender,Age,SchoolClass,DegreeCarefulness,Proficiency,Stereotype
15624510,Male,19,1,0,0.5,beginner
15810944,Male,35,1,0,0.5,beginner
15668575,Female,26,1,0,0.5,beginner
15603246,Female,27,1,0,0.5,beginner
15804002,Male,19,1,0,0.5,beginner
15728773,Male,27,1,0,0.5,beginner
15598044,Female,27,1,0,0.5,beginner
15694829,Female,32,1,1,0.5,beginner
15600575,Male,25,1,0,0.5,intermediate
15727311,Female,35,1,0,0.5,intermediate
15570769,Female,26,1,0,0.5,intermediate
15606274,Female,26,1,0,0.5,intermediate
15746139,Male,20,2,0,0.6,intermediate
15704987,Male,32,2,0,0.65,intermediate
15628972,Male,18,2,0,0.65,intermediate
15697686,Male,29,2,0,0.65,intermediate
15733883,Male,47,2,1,0.65,intermediate
15617482,Male,45,2,1,0.65,intermediate
15704583,Male,46,2,1,0.6,intermediate
15621083,Female,48,2,1,0.6,intermediate
15649487,Male,45,2,1,0.6,intermediate
15736760,Female,47,2,1,0.6,intermediate
15714658,Male,48,2,1,0.6,intermediate
15599081,Female,45,2,1,0.6,intermediate
15705113,Male,46,2,1,0.6,intermediate
15631159,Male,47,2,1,0.6,intermediate
15792818,Male,49,2,1,0.6,intermediate
15633531,Female,47,2,1,0.6,intermediate
15744529,Male,29,2,0,0.6,intermediate
15669656,Male,31,2,0,0.6,intermediate
15581198,Male,31,2,0,0.6,intermediate
15729054,Female,27,2,1,0.6,intermediate
15573452,Female,21,3,0,0.7,intermediate
15776733,Female,28,3,0,0.7,intermediate
15724858,Male,27,3,0,0.7,intermediate
15713144,Male,35,3,0,0.7,intermediate
15690188,Female,33,3,0,0.7,intermediate
15689425,Male,30,3,0,0.7,intermediate
15671766,Female,26,3,0,0.7,intermediate
15782806,Female,27,3,0,0.7,intermediate
15764419,Female,27,3,0,0.7,intermediate
15591915,Female,33,3,0,0.7,intermediate
15772798,Male,35,3,0,0.7,intermediate
15792008,Male,30,3,0,0.77,intermediate
15715541,Female,28,3,0,0.77,intermediate
15639277,Male,23,3,0,0.77,intermediate
15798850,Male,25,3,0,0.77,intermediate
15776348,Female,27,3,0,0.77,intermediate
15727696,Male,30,3,1,0.77,intermediate
15793813,Female,31,3,0,0.77,intermediate
15694395,Female,24,3,0,0.77,intermediate
15764195,Female,18,3,0,0.77,intermediate
15744919,Female,29,3,0,0.77,intermediate
15671655,Female,35,3,0,0.77,intermediate
15654901,Female,27,3,0,0.77,intermediate
15649136,Female,24,3,0,0.77,intermediate
15775562,Female,23,3,0,0.77,intermediate
15807481,Male,28,3,0,0.77,intermediate
15642885,Male,22,3,0,0.77,intermediate
15789109,Female,32,3,0,0.77,intermediate
15814004,Male,27,3,0,0.77,intermediate
15673619,Male,25,3,0,0.77,intermediate
15595135,Female,23,3,0,0.77,advanced
15583681,Male,32,3,1,0.77,advanced
15605000,Female,59,3,0,0.77,advanced
15718071,Male,24,3,0,0.77,advanced
15679760,Male,24,3,0,0.77,advanced
15654574,Female,23,3,0,0.77,advanced
15577178,Female,22,2,0,0.6,intermediate
15595324,Female,31,2,0,0.6,intermediate
15756932,Male,25,2,0,0.6,intermediate
15726358,Female,24,2,0,0.6,intermediate
15595228,Female,20,2,0,0.6,intermediate
15782530,Female,33,2,0,0.6,intermediate
15592877,Male,32,2,0,0.6,intermediate
15651983,Male,34,2,1,0.6,intermediate
15746737,Male,18,2,0,0.6,intermediate
15774179,Female,22,2,0,0.6,intermediate
15667265,Female,28,2,0,0.6,intermediate
15655123,Female,26,2,0,0.65,intermediate
15595917,Male,30,2,0,0.65,intermediate
15668385,Male,39,2,0,0.65,intermediate
15709476,Male,20,2,0,0.65,intermediate
15711218,Male,35,2,0,0.65,intermediate
15798659,Female,30,2,0,0.65,intermediate
15663939,Female,31,2,1,0.65,intermediate
15694946,Male,24,2,0,0.65,intermediate
15631912,Female,28,2,0,0.65,intermediate
15768816,Male,26,2,0,0.65,intermediate
15682268,Male,35,2,0,0.65,intermediate
15684801,Male,22,2,0,0.65,intermediate
15636428,Female,30,2,0,0.65,intermediate
15809823,Male,26,2,0,0.65,intermediate
15699284,Female,29,2,0,0.65,beginner
15786993,Female,29,2,0,0.65,beginner
15709441,Female,35,2,0,0.65,beginner
15710257,Female,35,2,0,0.65,beginner
15582492,Male,28,1,1,0.3,novice
15575694,Male,35,1,0,0.3,novice
15756820,Female,28,1,0,0.3,novice
15766289,Male,27,1,0,0.3,novice
15593014,Male,28,1,0,0.3,novice
15584545,Female,32,1,0,0.3,novice
15675949,Female,33,1,1,0.3,novice
15672091,Female,19,1,0,0.3,novice
15801658,Male,21,1,0,0.3,novice
15706185,Female,26,1,0,0.3,novice
15789863,Male,27,1,0,0.3,novice
15720943,Male,26,1,0,0.3,novice
15697997,Female,38,1,0,0.3,novice
15665416,Female,39,1,0,0.3,novice
15660200,Female,37,1,0,0.3,novice
15619653,Male,38,1,0,0.3,novice
15773447,Male,37,1,0,0.3,novice
15739160,Male,42,1,0,0.3,novice
15689237,Male,40,1,0,0.3,novice
15679297,Male,35,1,0,0.3,novice
15591433,Male,36,1,0,0.3,novice
15642725,Male,40,1,0,0.3,novice
15701962,Male,41,1,0,0.45,novice
15811613,Female,36,1,0,0.45,novice
15741049,Male,37,1,0,0.45,novice
15724423,Female,40,1,0,0.45,novice
15574305,Male,35,1,0,0.45,novice
15678168,Female,41,1,0,0.45,novice
15697020,Female,39,1,0,0.45,beginner
15610801,Male,42,1,0,0.45,beginner
15745232,Male,26,1,0,0.45,beginner
15722758,Male,30,1,0,0.45,beginner
15792102,Female,26,1,0,0.45,beginner
15675185,Male,31,1,0,0.45,beginner
15801247,Male,33,1,0,0.45,beginner
15725660,Male,30,1,0,0.45,beginner
15638963,Female,21,1,0,0.45,beginner
15800061,Female,28,1,0,0.45,beginner
15578006,Male,23,1,0,0.45,beginner
15668504,Female,20,4,0,0.2,novice
15687491,Male,30,4,1,0.2,novice
15610403,Female,28,4,0,0.2,novice
15741094,Male,19,4,0,0.2,novice
15807909,Male,19,4,0,0.2,novice
15666141,Female,18,4,0,0.2,novice
15617134,Male,35,4,0,0.2,novice
15783029,Male,30,4,0,0.2,novice
15622833,Female,34,4,0,0.2,novice
15746422,Female,24,4,0,0.2,novice
15750839,Female,27,4,1,0.2,novice
15749130,Female,41,4,0,0.2,novice
15779862,Male,29,4,0,0.2,novice
15767871,Male,20,4,0,0.2,novice
15679651,Female,26,4,0,0.2,novice
15576219,Male,41,4,0,0.2,novice
15699247,Male,31,4,0,0.3,novice
15619087,Female,36,4,0,0.3,novice
